name;hash;path;type;size
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);b6c87f2121c64d0af3866b815d01fd99;/workspace/work/b6/c87f2121c64d0af3866b815d01fd99/versions.yml;f;161
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578812);220a552583bf702fa84a00edc15a3750;/workspace/work/22/0a552583bf702fa84a00edc15a3750/SRR16578812_raw_1_fastqc.html;f;591817
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578812);220a552583bf702fa84a00edc15a3750;/workspace/work/22/0a552583bf702fa84a00edc15a3750/SRR16578812_raw_2_fastqc.html;f;589053
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578812);220a552583bf702fa84a00edc15a3750;/workspace/work/22/0a552583bf702fa84a00edc15a3750/SRR16578812_raw_1_fastqc.zip;f;359844
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578812);220a552583bf702fa84a00edc15a3750;/workspace/work/22/0a552583bf702fa84a00edc15a3750/SRR16578812_raw_2_fastqc.zip;f;359914
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578812);220a552583bf702fa84a00edc15a3750;/workspace/work/22/0a552583bf702fa84a00edc15a3750/versions.yml;f;120
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_1_val_1.fq.gz;f;1154474298
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_2_val_2.fq.gz;f;1230862472
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_1.fastq.gz_trimming_report.txt;f;5317
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_2.fastq.gz_trimming_report.txt;f;5524
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_1_val_1_fastqc.html;f;616352
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_2_val_2_fastqc.html;f;613944
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_1_val_1_fastqc.zip;f;357164
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);289ca83b7dc212a0c33012e5b9ce9991;/workspace/work/28/9ca83b7dc212a0c33012e5b9ce9991/SRR16578809_trimmed_2_val_2_fastqc.zip;f;355823
